ID	NAME	URL	PARTY	SORT_NAME
400061	Rep. Shelley Capito (R-WV2)	http://www.govtrack.us/congress/members/shelley_capito/400061	R	Capito, Shelley (Rep.) [R-WV2]
400062	Rep. Lois Capps (D-CA24)	http://www.govtrack.us/congress/members/lois_capps/400062	D	Capps, Lois (Rep.) [D-CA24]
400063	Rep. Michael Capuano (D-MA7)	http://www.govtrack.us/congress/members/michael_capuano/400063	D	Capuano, Michael (Rep.) [D-MA7]
400064	Sen. Benjamin Cardin (D-MD)	http://www.govtrack.us/congress/members/benjamin_cardin/400064	D	Cardin, Benjamin (Sen.) [D-MD]
400065	Rep. Dennis Cardoza (D-CA18, 2003-2012)	http://www.govtrack.us/congress/members/dennis_cardoza/400065	D	Cardoza, Dennis (Rep.) [D-CA18, 2003-2012]
400067	Rep. Julia Carson (D-IN7, 2003-2007)	http://www.govtrack.us/congress/members/julia_carson/400067	D	Carson, Julia (Rep.) [D-IN7, 2003-2007]
400068	Rep. John Carter (R-TX31)	http://www.govtrack.us/congress/members/john_carter/400068	R	Carter, John (Rep.) [R-TX31]
400070	Rep. Michael Castle (R-DE0, 1993-2010)	http://www.govtrack.us/congress/members/michael_castle/400070	R	Castle, Michael (Rep.) [R-DE0, 1993-2010]
400071	Rep. Steve Chabot (R-OH1)	http://www.govtrack.us/congress/members/steve_chabot/400071	R	Chabot, Steve (Rep.) [R-OH1]
400072	Rep. Chris Chocola (R-IN2, 2003-2006)	http://www.govtrack.us/congress/members/chris_chocola/400072	R	Chocola, Chris (Rep.) [R-IN2, 2003-2006]
400076	Rep. Howard Coble (R-NC6)	http://www.govtrack.us/congress/members/howard_coble/400076	R	Coble, Howard (Rep.) [R-NC6]
400077	Rep. Tom Cole (R-OK4)	http://www.govtrack.us/congress/members/tom_cole/400077	R	Cole, Tom (Rep.) [R-OK4]
400080	Rep. John Conyers (D-MI13)	http://www.govtrack.us/congress/members/john_conyers/400080	D	Conyers, John (Rep.) [D-MI13]
400081	Rep. Jim Cooper (D-TN5)	http://www.govtrack.us/congress/members/jim_cooper/400081	D	Cooper, Jim (Rep.) [D-TN5]
400083	Rep. Christopher Cox (R-CA48, 2003-2005)	http://www.govtrack.us/congress/members/christopher_cox/400083	R	Cox, Christopher (Rep.) [R-CA48, 2003-2005]
400086	Rep. Ander Crenshaw (R-FL4)	http://www.govtrack.us/congress/members/ander_crenshaw/400086	R	Crenshaw, Ander (Rep.) [R-FL4]
400087	Rep. Joseph Crowley (D-NY14)	http://www.govtrack.us/congress/members/joseph_crowley/400087	D	Crowley, Joseph (Rep.) [D-NY14]
400090	Rep. Elijah Cummings (D-MD7)	http://www.govtrack.us/congress/members/elijah_cummings/400090	D	Cummings, Elijah (Rep.) [D-MD7]
400091	Rep. Randall "Duke" Cunningham (R-CA50, 2003-2005)	http://www.govtrack.us/congress/members/randall_cunningham/400091	R	Cunningham, Randall â€œDukeâ€ (Rep.) [R-CA50, 2003-2005]
400092	Rep. Artur Davis (D-AL7, 2003-2010)	http://www.govtrack.us/congress/members/artur_davis/400092	D	Davis, Artur (Rep.) [D-AL7, 2003-2010]
400095	Rep. Jo Ann Davis (R-VA1, 2001-2007)	http://www.govtrack.us/congress/members/jo_ann_davis/400095	R	Davis, Jo Ann (Rep.) [R-VA1, 2001-2007]
400097	Rep. Susan Davis (D-CA53)	http://www.govtrack.us/congress/members/susan_davis/400097	D	Davis, Susan (Rep.) [D-CA53]
400100	Rep. Peter DeFazio (D-OR4)	http://www.govtrack.us/congress/members/peter_defazio/400100	D	DeFazio, Peter (Rep.) [D-OR4]
400101	Rep. Diana DeGette (D-CO1)	http://www.govtrack.us/congress/members/diana_degette/400101	D	DeGette, Diana (Rep.) [D-CO1]
400102	Rep. William "Bill" Delahunt (D-MA10, 1997-2010)	http://www.govtrack.us/congress/members/william_delahunt/400102	D	Delahunt, William â€œBillâ€ (Rep.) [D-MA10, 1997-2010]
400103	Rep. Rosa DeLauro (D-CT3)	http://www.govtrack.us/congress/members/rosa_delauro/400103	D	DeLauro, Rosa (Rep.) [D-CT3]
400105	Sen. Jim DeMint (R-SC, 2005-2013)	http://www.govtrack.us/congress/members/jim_demint/400105	R	DeMint, Jim (Sen.) [R-SC, 2005-2013]
400108	Rep. Mario Diaz-Balart (R-FL25)	http://www.govtrack.us/congress/members/mario_diaz_balart/400108	R	Diaz-Balart, Mario (Rep.) [R-FL25]
